"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Will Riley","Was","*","F","19.8","13","6.8","16.3","9.3","6","0.5","22","0.5","7","0.143","0.431","0.442","2.2","1.5","0.8","0.2","0","0.2","3.6","2.9","4.4","8.1","103.1","125.6"
"","Devin Carter","Sac","*","G","23.7","8","8.1","19.2","21.9","5","1","10","0.3","11","0.182","0.286","0.366","2.1","1.5","1.1","0.8","0.1","0.8","3.6","3.3","4.8","7.5","80.7","107.8"
"","Carter Bryant","San","*","F","20","14","7.2","19.3","13.5","3","1","17","0.353","21","0.238","0.355","0.381","2.1","1.5","0.1","0.3","0.1","0.4","3.6","2.2","3.7","3.8","76.4","106.1"
"","Ethan Thompson","Ind","*","G","26.6","1","7","11.8","0","0","0","1","1","1","0","0.5","0.5","2","0","1","0","0","0","2","3","3","0","121.4","111.8"
"","Drew Timme","Lal","*","F","25.2","1","1.2","72","0","0","0","1","1","1","0","0.5","0.5","2","0","0","1","0","0","2","2","2","0","0","0"
"","Isaac Jones","Det","*","F","25.4","1","1.3","62.9","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","0","0"
"","Daeqwon Plowden","Sac","*","G-F","27.3","1","14","15.2","0","0","0","2","0.5","3","0","0.2","0.2","2","2","0","0","0","0","4","2","4","0","72","130.6"
"","Wendell Moore Jr.","Det","*","G","24.2","3","14.4","6.6","14.3","0","0","5","0.6","1","0","0.5","0.5","2","1.3","1","0.7","0.3","0.3","3.3","3","4.3","3.8","110.7","115.8"
"","Maxi Kleber","Lal","*","F","33.8","9","11.7","7.3","12.2","4","0.75","6","0.5","8","0.375","0.536","0.571","2","1.9","0.7","0.2","0.3","0.2","3.9","2.7","4.6","4.7","132.5","104.2"
"","Koby Brea","Pho","*","G","23.1","2","3.9","20.8","0","2","1","1","1","2","0","0.333","0.515","2","0.5","1","0","0","0","2.5","3","3.5","10.3","0","0"
"","Johni Broome","Phi","*","F","23.4","5","6.3","22.6","12.2","2","1","12","0.333","2","0","0.286","0.336","2","1.8","0.6","0.4","0","0.4","3.8","2.6","4.4","8.2","90.6","105"
"","E.J. Liddell","Bro","*","F","25","7","4.6","17.8","0","3","0.667","4","0.75","8","0.25","0.5","0.526","2","1.3","0","0","0","0","3.3","2","3.3","0","119.5","111.2"
"","Colby Jones","Det","*","G","23.5","1","6.8","18","0","0","0","1","1","2","0","0.333","0.333","2","4","2","0","0","0","6","4","8","14.8","105.8","87.4"
"","Joan Beringer","Min","*","F","19.1","9","4.1","16.2","15","3","0.667","11","0.727","0","0","0.727","0.731","2","1.3","0","0.1","0.2","0.2","3.3","2","3.3","0","124.7","87.6"
